Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"weak/left associated monadic binds/0",2.132089230854711e-8,2.1135536315495188e-8,2.1716820987426634e-8,9.263834921128624e-10,5.150604048787998e-10,1.963510463840525e-9
"weak/left associated monadic binds/200",2.9016203055893695e-3,2.8795088920473984e-3,2.9252586739069403e-3,7.739826361473752e-5,5.962851010362023e-5,1.1534190446162167e-4
"weak/left associated monadic binds/400",1.268673557349198e-2,1.2470263918747731e-2,1.3103213699837381e-2,7.625851480262412e-4,4.2174184470243945e-4,1.3259278839159055e-3
"weak/left associated monadic binds/600",3.502800506828176e-2,3.48571427354534e-2,3.52662291995424e-2,4.132034557059239e-4,2.7969755171154616e-4,5.338457168891389e-4
"weak/left associated monadic binds/800",7.49958584455211e-2,7.231314904658462e-2,8.447359357935615e-2,7.7983747790352845e-3,9.967717591858757e-4,1.3045219048421477e-2
"weak/left associated monadic binds/1000",0.12127715177558429,0.1203780379929582,0.1226104195920997,1.6431439566503615e-3,9.643983525056975e-4,2.498940595020855e-3
"weak/right associated monadic binds/0",2.1747037484421922e-8,2.158417603280572e-8,2.1921240332650937e-8,5.739186790088529e-10,4.60564158926294e-10,8.217207276197799e-10
"weak/right associated monadic binds/200",4.392316965222328e-4,4.2217262503248433e-4,4.6082376021672336e-4,6.56617485617834e-5,4.858274879534433e-5,8.029872957249528e-5
"weak/right associated monadic binds/400",8.481176755968673e-4,8.203632422636322e-4,8.995574685549226e-4,1.2100500343808066e-4,6.901255324089237e-5,1.8438893380159015e-4
"weak/right associated monadic binds/600",1.384337839891965e-3,1.3140024549531837e-3,1.4823918207859318e-3,2.559571790198385e-4,2.0504689831277927e-4,3.2865191062386983e-4
"weak/right associated monadic binds/800",1.8450158395826365e-3,1.7273359388003647e-3,2.082339307459231e-3,5.549051617232304e-4,2.9770485793552404e-4,1.0055388828649901e-3
"weak/right associated monadic binds/1000",2.4644243075939124e-3,2.3226462852973225e-3,2.719424246507388e-3,6.112112140305774e-4,4.162248662529945e-4,1.0601207968619487e-3
"weak/balanced monadic binds/0",2.335211362818408e-8,2.2696955031077176e-8,2.4265811161708158e-8,2.5235410627207616e-9,2.035624049665958e-9,3.0610196905057315e-9
"weak/balanced monadic binds/200",7.015430899338836e-4,6.680788986292751e-4,7.877830969154196e-4,1.6407963107577353e-4,7.621017676244656e-5,3.2665639232571926e-4
"weak/balanced monadic binds/400",1.3846868823221693e-3,1.3468175276505738e-3,1.4413256140090075e-3,1.574776598508384e-4,1.1657861108920888e-4,2.2188478980410514e-4
"weak/balanced monadic binds/600",3.0561483675720755e-3,2.7531572551546665e-3,3.4464551378720564e-3,1.0682905370962591e-3,7.607234247339396e-4,1.3728948370453848e-3
"weak/balanced monadic binds/800",2.8542848063695045e-3,2.7611520558591487e-3,2.9872154328582368e-3,3.6345387861506917e-4,2.7716337944503044e-4,4.928119677932348e-4
"weak/balanced monadic binds/1000",3.609901164337156e-3,3.5245432781066113e-3,3.7163929986127023e-3,3.0938476102379043e-4,2.6703449819771467e-4,3.6693067189327015e-4
"weak/left associated >>/0",2.1640476100780337e-8,2.146449616847126e-8,2.1833259303842548e-8,6.039255181589248e-10,5.131419708119091e-10,7.357529837963775e-10
"weak/left associated >>/200",1.9746921383336855e-4,1.8956405127371764e-4,2.0683407395918755e-4,2.9758833871497536e-5,2.4066365615166417e-5,3.803704713094954e-5
"weak/left associated >>/400",3.717319367905887e-4,3.663831649071776e-4,3.7874412207127337e-4,1.9792467382992046e-5,1.5143580485792027e-5,2.58990553415673e-5
"weak/left associated >>/600",6.532877155363912e-4,6.169878907809458e-4,7.097303821229277e-4,1.5685665974616038e-4,1.0426944432157445e-4,2.05406926232837e-4
"weak/left associated >>/800",8.606602958467117e-4,8.163418801760718e-4,9.605538148032908e-4,2.145188275888243e-4,1.1194269349253256e-4,3.2925966111333507e-4
"weak/left associated >>/1000",1.284239658494048e-3,1.194626886009843e-3,1.4135203793164716e-3,3.677734373207144e-4,2.894904149144704e-4,4.5164866650673915e-4
"weak/right associated >>/0",2.16122924471595e-8,2.138303336431741e-8,2.1861723241343508e-8,7.425309996458873e-10,5.755737058524588e-10,1.0234823285559905e-9
"weak/right associated >>/200",8.901246522458089e-3,8.840388334265207e-3,8.987727181262655e-3,1.9381529966950645e-4,1.5073448042545712e-4,2.73024669856525e-4
"weak/right associated >>/400",3.7702381354738086e-2,3.609967294089051e-2,4.120521721161211e-2,4.60544366415242e-3,1.1559559591880506e-3,6.886200751133223e-3
"weak/right associated >>/600",9.080039371279479e-2,9.001072191403744e-2,9.170122478523801e-2,1.3284820881842969e-3,8.776933327223103e-4,2.107246515583783e-3
"weak/right associated >>/800",0.17878128405320023,0.16801142198730798,0.19027840343128422,1.506013163377285e-2,1.0580922740260346e-2,2.169575834916117e-2
"weak/right associated >>/1000",0.31432942508252665,0.2740854966373142,0.3502409244552912,4.319247129440913e-2,3.5363991914941106e-2,4.784532729895274e-2
"strong/left associated monadic binds/0",1.7496954893200548e-7,1.68762289955931e-7,1.8604655437629107e-7,2.623911519137131e-8,1.6181427378267783e-8,3.788120951987843e-8
"strong/left associated monadic binds/200",3.470218035842856e-3,3.3398533085767764e-3,3.681784769869304e-3,5.443543453562797e-4,3.7115438184242503e-4,7.42611394572251e-4
"strong/left associated monadic binds/400",1.3110397331733253e-2,1.3004674817273775e-2,1.326435531202843e-2,3.336161510573271e-4,2.4212682412637362e-4,5.435226863667904e-4
"strong/left associated monadic binds/600",3.894526661617138e-2,3.7736045548010536e-2,4.1163969275616094e-2,3.4708757383589616e-3,1.9358340986710112e-3,6.083543249443113e-3
"strong/left associated monadic binds/800",8.250426023900838e-2,7.653512616931009e-2,8.854250371909862e-2,1.0111985269357833e-2,8.3347314109054e-3,1.2684155271627261e-2
"strong/left associated monadic binds/1000",0.12510573639869693,0.12179010226812821,0.12980899174106142,6.161620746288192e-3,2.8390422502492766e-3,9.173955159296043e-3
"strong/right associated monadic binds/0",1.6165442415901096e-7,1.6017593971555327e-7,1.6388528622085015e-7,6.016614792425267e-9,4.521954757889706e-9,8.368483095041703e-9
"strong/right associated monadic binds/200",5.849065270629366e-4,5.793221293231507e-4,5.942994733918381e-4,2.4221451541139796e-5,1.6629274083981188e-5,4.101171305214512e-5
"strong/right associated monadic binds/400",1.1707770175306631e-3,1.1615217017995254e-3,1.1812349872374723e-3,3.382808585676572e-5,2.724599448660435e-5,4.394995211566148e-5
"strong/right associated monadic binds/600",1.747964104745037e-3,1.730040159549349e-3,1.7621553066921633e-3,5.446068225638925e-5,4.3367656437492064e-5,6.973042487780758e-5
"strong/right associated monadic binds/800",2.3294179775605536e-3,2.3114278481284702e-3,2.3465393779565765e-3,5.443955052076297e-5,4.623908390822839e-5,6.85566379204881e-5
"strong/right associated monadic binds/1000",2.912561001680061e-3,2.887812298240218e-3,2.9414141656614167e-3,8.64501976736012e-5,6.359455888411214e-5,1.340966515263172e-4
"strong/balanced monadic binds/0",1.6143005901850342e-7,1.6018622068767707e-7,1.628124670828161e-7,4.424465816624443e-9,3.44434517022292e-9,6.807563455934321e-9
"strong/balanced monadic binds/200",8.179787133303282e-4,8.100465788585004e-4,8.287469585128274e-4,3.069187142543198e-5,2.3732728781025263e-5,4.167592194390151e-5
"strong/balanced monadic binds/400",1.6486744937205448e-3,1.6365590144686417e-3,1.66151916118839e-3,4.294124044186973e-5,3.642377854806453e-5,5.0175650246070604e-5
"strong/balanced monadic binds/600",2.4999507168169156e-3,2.481809841430861e-3,2.523472963764376e-3,7.120767997408188e-5,5.78389555909289e-5,8.91588455531816e-5
"strong/balanced monadic binds/800",3.3471380415898725e-3,3.320920336259021e-3,3.373669125509425e-3,8.900702778218647e-5,7.513584651434445e-5,1.1185547944567853e-4
"strong/balanced monadic binds/1000",4.195213106756401e-3,4.150894740105351e-3,4.239200209425846e-3,1.4032938752904669e-4,1.1243334385734238e-4,1.7826831182800565e-4
"strong/left associated >>/0",1.6243135611948745e-7,1.6070034881237362e-7,1.6393441754288543e-7,5.246330741844786e-9,4.054062658710642e-9,7.381797089763707e-9
"strong/left associated >>/200",4.307437374804441e-4,4.2754114210304014e-4,4.3381074652637633e-4,1.0428797183753155e-5,8.80463877617581e-6,1.3455866594040594e-5
"strong/left associated >>/400",9.748321820398699e-4,9.432336699354988e-4,1.0431294726465374e-3,1.488288451894534e-4,7.764859228337575e-5,2.8280245769776637e-4
"strong/left associated >>/600",1.5564980173862972e-3,1.486959714364152e-3,1.7288942168789676e-3,3.620172387202787e-4,1.5244383992839072e-4,6.955000291509707e-4
"strong/left associated >>/800",2.0957626911164338e-3,1.968634170265344e-3,2.536187654389952e-3,6.17981458706443e-4,2.6971318220258243e-4,1.2203846444089578e-3
"strong/left associated >>/1000",2.737530277818879e-3,2.57694799744465e-3,3.262436688822997e-3,7.7488182161984e-4,1.5519721128664273e-4,1.6667788231291706e-3
"strong/right associated >>/0",1.707442305104879e-7,1.6563017443808984e-7,1.7894194131806422e-7,2.066860605841679e-8,1.3556703974502684e-8,3.042863733231066e-8
"strong/right associated >>/200",9.208521922115702e-3,9.113998222099169e-3,9.325972352775167e-3,2.810902569259524e-4,2.2914962974906485e-4,3.422591612340569e-4
"strong/right associated >>/400",4.7458594954690445e-2,4.649400012121814e-2,4.822871541149917e-2,1.7069917612569905e-3,1.2045123130661939e-3,2.4773166195234055e-3
"strong/right associated >>/600",0.139265323025993,0.13426477773007847,0.14845748557626176,1.0139361947293108e-2,4.805392376778209e-3,1.4953267301455131e-2
"strong/right associated >>/800",0.2832458713622901,0.24436857320340627,0.3028443840029519,3.713934089082018e-2,2.461260536103292e-4,4.501470014159902e-2
"strong/right associated >>/1000",0.49257046608971994,0.4851049772535812,0.4982006650086979,8.614124733195465e-3,0.0,9.751790584389262e-3
"app/left associated monadic binds/0",2.1217931003799564e-7,2.1016399830115957e-7,2.1447268556581723e-7,7.338552579615298e-9,6.055534929969413e-9,9.426745850182893e-9
"app/left associated monadic binds/200",3.2001629831889637e-3,3.177220051965599e-3,3.22391506325938e-3,7.634973267134406e-5,5.975124440981556e-5,1.000960821804653e-4
"app/left associated monadic binds/400",1.305517070266832e-2,1.2907394785967845e-2,1.3481265812274974e-2,5.716434297458942e-4,2.3160623170146493e-4,1.0681483954464324e-3
"app/left associated monadic binds/600",3.5749873546664826e-2,3.539884101098285e-2,3.606586881464244e-2,6.633632865859627e-4,4.957447380255693e-4,9.17238862939269e-4
"app/left associated monadic binds/800",7.129133796578019e-2,7.076146094655823e-2,7.189178258713938e-2,9.878986540818747e-4,6.145410184638216e-4,1.5217053570777276e-3
"app/left associated monadic binds/1000",0.11942143520730444,0.1188571401680513,0.1200473850314557,8.77994499992122e-4,5.637540608619435e-4,1.1913721832568977e-3
"app/right associated monadic binds/0",2.1484171635699944e-7,2.132813769738179e-7,2.1686826054836426e-7,6.123081602816176e-9,4.911315249569099e-9,8.931079634320473e-9
"app/right associated monadic binds/200",7.304599317024157e-4,7.239824299290473e-4,7.373444879020335e-4,2.2034815736504637e-5,1.7478886130367598e-5,2.843709261698119e-5
"app/right associated monadic binds/400",1.4854925350477237e-3,1.4715281709682887e-3,1.5046272727059348e-3,5.207734258789209e-5,3.690209547415301e-5,7.601939642406967e-5
"app/right associated monadic binds/600",2.185088789679414e-3,2.160685344636718e-3,2.2114540200012826e-3,8.498609616098125e-5,6.751046918700713e-5,1.1501034369299827e-4
"app/right associated monadic binds/800",2.9340131085869225e-3,2.907301920531323e-3,2.9608085227925685e-3,8.618971581293857e-5,6.123830877603031e-5,1.3012546372982055e-4
"app/right associated monadic binds/1000",3.694550810027846e-3,3.662390217809972e-3,3.734430104435995e-3,1.1703879966509904e-4,8.727231209583808e-5,1.6478074662718844e-4
"app/balanced monadic binds/0",2.1459264224166005e-7,2.1273880070927085e-7,2.165092837998977e-7,6.6616924858799715e-9,5.361449340163682e-9,8.90484613763095e-9
"app/balanced monadic binds/200",9.034790408480725e-4,8.957012145217106e-4,9.121086460725882e-4,2.799438273181144e-5,2.249353587994468e-5,3.5080771611718635e-5
"app/balanced monadic binds/400",1.8398526660597368e-3,1.8175660371558403e-3,1.8913030137092488e-3,1.0743251123180438e-4,5.4325148681851125e-5,2.0263625464685223e-4
"app/balanced monadic binds/600",2.7766724085757895e-3,2.746994279963478e-3,2.8072704328585634e-3,1.0364743173635964e-4,8.133095473504395e-5,1.56955190117652e-4
"app/balanced monadic binds/800",3.7279572980154795e-3,3.7011850292250456e-3,3.7566504255467058e-3,8.396530301796379e-5,6.807811240634195e-5,1.0435455972762057e-4
"app/balanced monadic binds/1000",4.656336986583202e-3,4.614949557648301e-3,4.69129606833688e-3,1.1917150947975227e-4,9.164016200453602e-5,1.581394488183418e-4
"app/left associated >>/0",2.1364968830232098e-7,2.1195711547409907e-7,2.1550647869863292e-7,5.819657254051619e-9,4.673050423161306e-9,7.90516106772304e-9
"app/left associated >>/200",2.5382101843872325e-4,2.5168360592866986e-4,2.562155005600248e-4,7.632844051667713e-6,6.111085496830019e-6,9.869375150444784e-6
"app/left associated >>/400",5.949317217285817e-4,5.780034798672107e-4,6.462881178078942e-4,9.454258500830458e-5,4.142864099138635e-5,1.8292279375505818e-4
"app/left associated >>/600",1.1915699848880923e-3,1.0974339738920498e-3,1.4352968758425905e-3,4.5632060985374673e-4,2.1832188756819648e-4,9.044115607637958e-4
"app/left associated >>/800",1.8030397193999205e-3,1.618703564469846e-3,2.2503502625727608e-3,8.674025181088231e-4,4.4571781114497084e-4,1.8262833552295538e-3
"app/left associated >>/1000",2.5163993244559897e-3,2.197926711583163e-3,3.238398611332485e-3,1.4351809449607029e-3,6.766965471392412e-4,2.6088131596743885e-3
"app/right associated >>/0",2.118375401920217e-7,2.0966942622501963e-7,2.1407806746333057e-7,7.34916696657421e-9,5.577771777267167e-9,1.0334633358598338e-8
"app/right associated >>/200",8.479399036175735e-3,8.393391528920494e-3,8.564190224645201e-3,2.509232223887341e-4,2.0453289804933566e-4,3.164729595408449e-4
"app/right associated >>/400",3.31907276661864e-2,3.2924850481467156e-2,3.350846236001293e-2,6.05444371126705e-4,4.305999133512546e-4,8.580658113027349e-4
"app/right associated >>/600",9.80009895701558e-2,9.476373085518483e-2,0.10120183863561936,5.087406426010914e-3,3.854266570364584e-3,5.983384822572119e-3
"app/right associated >>/800",0.20373715507737544,0.192631677915788,0.21651870834684317,1.51934918291945e-2,7.3077791608986906e-3,1.9934866936466566e-2
"app/right associated >>/1000",0.3645592897812517,0.34550193699819737,0.3773312435617168,1.9158722695360102e-2,0.0,2.2121672859686956e-2
